Id,OwnerId,IsDeleted,Name,RecordTypeId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,sustain_app__AMER_Avg_Elec_Energy_Intensity_kwh_sqft__c,sustain_app__AMER_Avg_Energy_Intensity_kBtu_sqft__c,sustain_app__APAC_Avg_Elec_Energy_Intensity_kwh_sqft__c,sustain_app__APAC_Avg_Energy_Intensity_kBtu_sqft__c,sustain_app__City__c,sustain_app__Country__c,sustain_app__Data_Source__c,sustain_app__Diesel_CH4_Factor_g_mmBtu__c,sustain_app__Diesel_CO2_Factor__c,sustain_app__Diesel_CO2e_Factor_tCO2e_MWh__c,sustain_app__Diesel_N2O_Factor_g_mmBtu__c,sustain_app__EMEA_Avg_Elec_Energy_Intensity_kwh_sqft__c,sustain_app__EMEA_Avg_Energy_Intensity_kBtu_sqft__c,sustain_app__East_North_Central_Large__c,sustain_app__East_North_Central_Medium__c,sustain_app__East_North_Central_Small__c,sustain_app__East_South_Central_Large__c,sustain_app__East_South_Central_Medium__c,sustain_app__East_South_Central_Small__c,sustain_app__Emission_Factor_Update_Year__c,sustain_app__Fuel_Oil_CH4_Factor_g_mmBtu__c,sustain_app__Fuel_Oil_CO2_Factor_kg_mmBtu__c,sustain_app__Fuel_Oil_CO2e_Factor_tCO2e_MWh__c,sustain_app__Fuel_Oil_N2O_Factor_g_mmBtu__c,sustain_app__GWP_CH4__c,sustain_app__GWP_N2O__c,sustain_app__GWP__c,sustain_app__GWP_kgCO2ekg__c,sustain_app__Jet_Fuel_CO2e_Factor_tCO2e_Gal__c,sustain_app__Middle_Atlantic_Large__c,sustain_app__Middle_Atlantic_Medium__c,sustain_app__Middle_Atlantic_Small__c,sustain_app__Midwest_Large__c,sustain_app__Midwest_Medium__c,sustain_app__Midwest_Small__c,sustain_app__Midwest_kBtusft__c,sustain_app__Mountain_Large__c,sustain_app__Mountain_Medium__c,sustain_app__Mountain_Small__c,sustain_app__Natural_Gas_CH4_Factor_g_mmBtu__c,sustain_app__Natural_Gas_CO2_Factor__c,sustain_app__Natural_Gas_CO2e_Factor_tCO2e_MWh__c,sustain_app__Natural_Gas_N2O_Factor_g_mmBtu__c,sustain_app__New_England_Large__c,sustain_app__New_England_Medium__c,sustain_app__New_England_Small__c,sustain_app__Non_US_Real_Estate_Avg_kBtu_Sqft__c,sustain_app__Northeast_Large__c,sustain_app__Northeast_Medium__c,sustain_app__Northeast_Small__c,sustain_app__Northeast_kBtusft__c,sustain_app__Pacific_Large__c,sustain_app__Pacific_Medium__c,sustain_app__Pacific_Small__c,sustain_app__RefrigerantLeakageRatekgITkWh__c,sustain_app__RefrigerantLeakageRatekgSqft__c,sustain_app__Refrigerant_Name__c,sustain_app__South_Atlantic_Large__c,sustain_app__South_Atlantic_Medium__c,sustain_app__South_Atlantic_Small__c,sustain_app__South_Large__c,sustain_app__South_Medium__c,sustain_app__South_Small__c,sustain_app__South_kBtusft__c,sustain_app__State__c,sustain_app__Steam_CH4_Factor_g_mmBtu__c,sustain_app__Steam_CO2_Factor_kg_mmBtu__c,sustain_app__Steam_CO2e_Factor_tCO2e_MWh__c,sustain_app__Steam_N2O_Factor_g_mmBtu__c,sustain_app__SubRegion_Name__c,sustain_app__West_Large__c,sustain_app__West_Medium__c,sustain_app__West_North_Central_Large__c,sustain_app__West_North_Central_Medium__c,sustain_app__West_North_Central_Small__c,sustain_app__West_Small__c,sustain_app__West_South_Central_Large__c,sustain_app__West_South_Central_Medium__c,sustain_app__West_South_Central_Small__c,sustain_app__West_kBtusft__c,sustain_app__jet_fuel_ch4_factor_g_gal__c,sustain_app__jet_fuel_co2_factor_g__c,sustain_app__jet_fuel_n2o_factor_g_gal__c
a076g000002dWQoAAM,0056g000004tx5VAAQ,,Energy Intensity Reference Data,0126g0000003V1ZAAU,2020-03-03T17:04:58.000+0000,0056g000004tx5VAAQ,2020-03-10T19:24:26.000+0000,0056g000004tw2CAAQ,2020-03-10T19:24:26.000+0000,,,,2.087142857142857,32.77674285714286,1.47,23.0128,,,https://www.eia.gov/consumption/commercial/data/2012/index.php?view=consumption,,,0,,1.76,27.5009,15.4,12.2,15.2,15.1,13.9,15.4,2019,,,0,,,,,,0,17.8,12.6,14.3,15.3,12.1,13.2,82.8,16.2,10.9,16.2,,,0,,14.9,10.6,11.6,,17.3,12,13.2,93.9,17,10.9,13.8,,,,16.6,15,19,17,14.8,17.5,74.9,,,,0,,,16.8,10.9,15,12.1,10.5,14.4,18.5,14.8,16.6,74.7,,,
a076g000002dWQpAAM,0056g000004tx5VAAQ,,General Conversion Factors,0126g0000003V1aAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting; https://www.epa.gov/sites/production/files/2018-03/documents/emission-factors_mar_2018_0.pdf,3,73.96,0.25319,0.6,,,,,,,,,2018,3,73.96,0.25319,0.6,28,265,1,,0.00983,,,,,,,,,,,1,53.06,0.18123,0.1,,,,,,,,,,,,0.00000166,0.0002,,,,,,,,,,1.25,66.33,0.22656,0.13,,,,,,,,,,,,0,9.75,0.3
a076g000002dWQqAAM,0056g000004tx5VAAQ,,Carbon tetrachloride - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,1400,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Carbon tetrachloride,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQrAAM,0056g000004tx5VAAQ,,CFC-11 / R11 (trichlorofluoromethane) - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,4750,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,CFC-11 / R11 (trichlorofluoromethane),,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQsAAM,0056g000004tx5VAAQ,,CFC-113 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,6130,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,CFC-113,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQtAAM,0056g000004tx5VAAQ,,CFC-114 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,10000,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,CFC-114,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQuAAM,0056g000004tx5VAAQ,,CFC-115 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,7370,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,CFC-115,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQvAAM,0056g000004tx5VAAQ,,CFC-12 / R12 (dichlorodifluoromethane) - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,10900,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,CFC-12 / R12 (dichlorodifluoromethane),,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQwAAM,0056g000004tx5VAAQ,,CFC-13 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,14400,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,CFC-13,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQxAAM,0056g000004tx5VAAQ,,Dimethylether - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,1,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Dimethylether,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQyAAM,0056g000004tx5VAAQ,,Halon-1211 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,1890,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Halon-1211,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWQzAAM,0056g000004tx5VAAQ,,Halon-1301 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,7140,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Halon-1301,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR0AAM,0056g000004tx5VAAQ,,Halon-2402 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,1640,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Halon-2402,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR1AAM,0056g000004tx5VAAQ,,HCFC-123 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,77,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFC-123,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR2AAM,0056g000004tx5VAAQ,,HCFC-124 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,609,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFC-124,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR3AAM,0056g000004tx5VAAQ,,HCFC-141b - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,725,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFC-141b,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR4AAM,0056g000004tx5VAAQ,,HCFC-142b - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,2310,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFC-142b,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR5AAM,0056g000004tx5VAAQ,,HCFC-21 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,151,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFC-21,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR6AAM,0056g000004tx5VAAQ,,HCFC-22 / R22 (chlorodifluoromethane) - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,1810,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFC-22 / R22 (chlorodifluoromethane),,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR7AAM,0056g000004tx5VAAQ,,HCFC-225ca - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,122,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFC-225ca,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR8AAM,0056g000004tx5VAAQ,,HCFC-225cb - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,595,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFC-225cb,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWR9AAM,0056g000004tx5VAAQ,,HCFE-235da2 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,350,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HCFE-235da2,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWRAAA2,0056g000004tx5VAAQ,,HFC-125 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,3500,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HFC-125,,,,,,,,,,,0,,,,,,,,,,,,,,,
a076g000002dWRBAA2,0056g000004tx5VAAQ,,HFC-134 - 2018 revision,0126g0000003V1bAAE,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,0056g000004tx5VAAQ,2020-03-03T17:04:59.000+0000,,,,,,,,,,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,,,0,,,,,,,,,,2018,,,0,,,,,1100,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,HFC-134,,,,,,,,,,,0,,,,,,,,,,,,,,,
